Uid,Activity,"state (0:stop, 1:move)",Timestamp,X,Y,Z,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:03.1,-29.254425,1.142305,-27.42572,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:03.2,-28.995514,1.855947,-27.634445,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:03.3,-29.284668,1.652754,-27.252792,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:03.4,-28.803253,1.475977,-27.519882,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:03.5,-29.14801,1.695908,-27.975815,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:03.6,-30.392151,1.884989,-26.703857,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:03.7,-31.272919,1.78141,-25.949554,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:03.8,-30.80423,1.464838,-25.850677,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:03.9,-31.404388,-0.031645,-25.688507,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:04.0,-31.023285,-1.548309,-25.61882,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:04.1,-30.986572,-2.375097,-26.525269,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:04.2,-30.62381,-2.773785,-26.98259,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:04.4,-30.677246,-2.567789,-26.713242,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:04.5,-30.877899,-1.291681,-26.913452,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:04.6,-30.00238,-0.65818,-28.058075,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:04.7,-30.463867,0.407236,-27.975067,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:04.8,-30.013062,0.728731,-28.584778,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:04.9,-30.641937,1.108271,-28.294312,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:05.0,-31.247803,0.930738,-27.301849,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:05.1,-32.070221,1.024967,-26.478622,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:05.2,-32.170105,0.700716,-27.127792,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:05.3,-31.885101,-0.680775,-27.143143,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:05.4,-31.46817,-1.858686,-27.382584,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:05.5,-31.584076,-2.440783,-27.843719,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:05.6,-31.148468,-2.083401,-27.529022,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:05.7,-30.726318,-1.507076,-28.37941,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:05.8,-31.299133,-0.716421,-28.240082,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:05.9,-30.865479,-0.032953,-28.609512,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:06.0,-30.464661,-0.151211,-29.339844,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:06.1,-31.08429,-0.514549,-28.514297,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:06.2,-31.297516,-0.744946,-28.007233,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:06.3,-31.77002,-0.848833,-26.910049,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:06.4,-32.384766,0.779854,-26.430252,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:06.5,-32.396637,0.413902,-26.058868,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:06.6,-31.80899,-0.778934,-27.427139,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:06.7,-31.440887,-1.850861,-27.917572,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:06.8,-31.305389,-2.092094,-28.373657,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:06.9,-31.498108,-1.53787,-28.474548,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:07.0,-30.574951,-0.935076,-29.570084,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:07.1,-30.999084,-0.408749,-29.038574,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:07.2,-31.340973,0.94441,-29.931656,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:07.3,-30.918304,1.038733,-30.205612,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:07.4,-30.969727,1.645615,-30.040848,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:07.5,-31.46933,2.123892,-29.922699,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:07.6,-32.626923,2.135017,-28.7258,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:07.7,-33.519958,2.872326,-28.176392,
