Uid,Activity,"state (0:stop, 1:move)",Timestamp,X,Y,Z,,,
stop1_ori,"""stop on point 1""",0,47:52.4,-90.323559,-9.641484,0.062394,,,
stop1_ori,"""stop on point 1""",0,47:52.5,-90.311879,-9.677228,0.082277,,,
stop1_ori,"""stop on point 1""",0,47:52.6,-90.299357,-9.7028,0.091308,,,
stop1_ori,"""stop on point 1""",0,47:52.7,-90.24278,-9.730223,0.116109,,,
stop1_ori,"""stop on point 1""",0,47:52.8,-90.280044,-9.672437,0.149286,,,
stop1_ori,"""stop on point 1""",0,47:52.9,-90.262008,-9.711882,0.134306,,,
stop1_ori,"""stop on point 1""",0,47:53.0,-90.213545,-10.382453,0.374619,,,
stop1_ori,"""stop on point 1""",0,48:21.7,-89.953765,-7.844221,0.674355,,,
stop1_ori,"""stop on point 1""",0,48:21.8,-89.932815,-7.831372,0.68125,,,
stop1_ori,"""stop on point 1""",0,48:21.9,-89.90683,-7.796922,0.601316,,,
stop1_ori,"""stop on point 1""",0,48:22.0,-89.925556,-7.778029,0.599829,,,
stop1_ori,"""stop on point 1""",0,48:22.1,-89.928703,-7.76504,0.589502,,,
stop1_ori,"""stop on point 1""",0,48:22.2,-89.911173,-7.79627,0.601811,,,
stop1_ori,"""stop on point 1""",0,48:22.3,-89.843333,-7.832108,0.64124,,,
stop1_ori,"""stop on point 1""",0,48:22.4,-89.857382,-7.89674,0.703209,,,
stop1_ori,"""stop on point 1""",0,48:22.5,-89.870826,-7.885363,0.678085,,,
stop1_ori,"""stop on point 1""",0,48:22.6,-89.873185,-7.890332,0.666898,,,
stop1_ori,"""stop on point 1""",0,48:22.7,-89.84343,-7.967879,0.637631,,,
stop1_ori,"""stop on point 1""",0,48:22.8,-89.87896,-7.952309,0.651778,,,
stop1_ori,"""stop on point 1""",0,48:22.9,-89.880809,-7.964215,0.677584,,,
stop1_ori,"""stop on point 1""",0,48:23.0,-89.849396,-7.979767,0.685715,,,
stop1_ori,"""stop on point 1""",0,48:23.1,-89.962426,-7.976252,0.666389,,,
stop1_ori,"""stop on point 1""",0,48:23.2,-90.022273,-7.925939,0.693969,,,
stop1_ori,"""stop on point 1""",0,48:23.3,-89.963422,-7.878451,0.688953,,,
stop1_ori,"""stop on point 1""",0,48:23.4,-89.953659,-7.815423,0.666741,,,
stop1_ori,"""stop on point 1""",0,48:23.5,-89.93087,-7.81061,0.737986,,,
stop1_ori,"""stop on point 1""",0,48:23.6,-89.95942,-7.77533,0.764537,,,
stop1_ori,"""stop on point 1""",0,48:23.7,-89.934181,-7.830446,0.718771,,,
stop1_ori,"""stop on point 1""",0,48:23.8,-89.988996,-7.799886,0.759821,,,
stop1_ori,"""stop on point 1""",0,48:23.9,-90.050853,-7.755165,0.719045,,,
stop1_ori,"""stop on point 1""",0,48:24.0,-90.084925,-7.714893,0.723729,,,
stop1_ori,"""stop on point 1""",0,48:24.1,-90.055834,-7.699719,0.741885,,,
stop1_ori,"""stop on point 1""",0,48:24.2,-90.067234,-7.615803,0.773796,,,
stop1_ori,"""stop on point 1""",0,48:24.3,-90.044743,-7.594859,0.724264,,,
stop1_ori,"""stop on point 1""",0,48:24.4,-90.07476,-7.598805,0.769114,,,
stop1_ori,"""stop on point 1""",0,48:24.5,-90.069583,-7.56791,0.828436,,,
stop1_ori,"""stop on point 1""",0,48:24.6,-90.056453,-7.51933,0.874933,,,
stop1_ori,"""stop on point 1""",0,48:24.7,-90.027894,-7.50207,0.870407,,,
stop1_ori,"""stop on point 1""",0,48:24.8,-89.998903,-7.503318,0.853569,,,
stop1_ori,"""stop on point 1""",0,48:24.9,-90.035351,-7.483191,0.84843,,,
stop1_ori,"""stop on point 1""",0,48:25.0,-90.051441,-7.495776,0.848659,,,
